trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",25,8,14.160135245787233,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18637397603940997}",35,21,17.31233161616184,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18451952399298926}",25,0,37.35025950976559,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,13,22.10177653596778,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,0,-5.973729289105844,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.17906614791149322}",20,10,2.839869890770646,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",20,3,21.87479042553057,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17552040061699686}",30,20,18.275777930809387,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,14,8.795378352060622,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",35,20,16.604127522879352,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17033298882540943}",35,21,24.50325837934534,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1686381472685955}",20,5,23.54644746586115,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1669601696670407}",25,12,24.01733463562973,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,11,21.793075206168655,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270405}",20,0,-4.323532064788226,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.16202575093388075}",35,7,16.012562201161376,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.16041356777517274}",20,9,22.255031997702016,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15881742610692068}",20,0,-1.1437036229336257,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
185,False,"{'a': 0.5, 'e': 0.1572371663136276}",30,0,-23.441007902270357,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
186,False,"{'a': 0.5, 'e': 0.1556726303679973}",25,11,25.23574949526441,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.1541236618151314}",25,13,11.190665906100389,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.15259010575688386}",25,6,25.435377250329207,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.15107180883637084}",25,3,20.228384887636256,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.14956861922263504}",25,11,11.730076598668651,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14808038659546244}",25,14,-4.739965456306718,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14660696213035015}",20,0,27.860636510872794,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.14514819848362373}",30,12,-10.759718975629815,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
194,False,"{'a': 0.5, 'e': 0.14370394977770293}",25,2,31.11129738048746,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.1422740715865136}",20,0,25.66801074627906,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
196,False,"{'a': 0.5, 'e': 0.140858420921045}",20,0,25.005080993848697,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
197,False,"{'a': 0.5, 'e': 0.13945685621505094}",20,15,7.416600541354461,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
